Ax;Ay;Bx;By;Mx;My;Nx;Ny;Vp;vp_raw;varvp;varvp_raw;tensao;corrente;step;potencia;resistencia corrente;resistividade
9.0;0.0;30.0;0.0;18.0;0.0;21.0;0.0;51.8;2897123.0;0.0;11.0;28.44;11.52;132.0;128.0;2469.0;508.545
6.0;0.0;33.0;0.0;18.0;0.0;21.0;0.0;51.69;2890794.0;0.0;7.0;28.75;11.53;133.0;128.0;2493.0;845.042
6.0;0.0;34.0;0.0;18.0;0.0;22.0;0.0;69.41;3881768.0;0.0;10.0;28.44;11.59;134.0;128.0;2454.0;903.087
2.0;0.0;38.0;0.0;18.0;0.0;22.0;0.0;69.28;3874416.0;0.0;58.0;28.41;11.66;135.0;128.0;2437.0;1493.307
18.0;0.0;21.0;0.0;19.0;0.0;20.0;0.0;17.12;957258.0;0.0;0.0;28.09;11.66;136.0;128.0;2409.0;9.225
17.0;0.0;22.0;0.0;19.0;0.0;20.0;0.0;16.99;949985.0;0.0;2.0;28.35;11.55;137.0;128.0;2455.0;27.728
16.0;0.0;23.0;0.0;19.0;0.0;20.0;0.0;17.04;952846.0;0.0;0.0;28.24;11.51;138.0;128.0;2454.0;55.812
15.0;0.0;24.0;0.0;19.0;0.0;20.0;0.0;17.04;953166.0;0.0;3.0;28.55;11.53;139.0;128.0;2476.0;92.858
15.0;0.0;25.0;0.0;19.0;0.0;21.0;0.0;34.52;1930232.0;0.0;3.0;28.55;11.58;140.0;128.0;2465.0;112.381
13.0;0.0;27.0;0.0;19.0;0.0;21.0;0.0;34.48;1928289.0;0.0;0.0;28.27;11.42;141.0;128.0;2475.0;227.647
11.0;0.0;29.0;0.0;19.0;0.0;21.0;0.0;34.71;1941341.0;0.0;7.0;28.32;11.47;142.0;128.0;2469.0;380.278
10.0;0.0;31.0;0.0;19.0;0.0;22.0;0.0;51.87;2900853.0;0.0;64.0;28.66;11.51;143.0;128.0;2490.0;509.675
7.0;0.0;34.0;0.0;19.0;0.0;22.0;0.0;51.89;2902020.0;0.0;20.0;28.67;11.47;144.0;128.0;2500.0;852.749
7.0;0.0;35.0;0.0;19.0;0.0;23.0;0.0;69.25;3872845.0;0.0;39.0;28.59;11.4;145.0;128.0;2508.0;916.022
3.0;0.0;39.0;0.0;19.0;0.0;23.0;0.0;69.52;3887683.0;0.0;73.0;28.87;11.36;146.0;128.0;2541.0;1538.053
19.0;0.0;22.0;0.0;20.0;0.0;21.0;0.0;17.17;960061.0;0.0;1.0;28.12;11.54;147.0;128.0;2437.0;9.349
18.0;0.0;23.0;0.0;20.0;0.0;21.0;0.0;17.14;958509.0;0.0;2.0;28.38;11.37;148.0;128.0;2496.0;28.415
17.0;0.0;24.0;0.0;20.0;0.0;21.0;0.0;17.16;959535.0;0.0;3.0;28.29;11.47;149.0;128.0;2466.0;56.401
16.0;0.0;25.0;0.0;20.0;0.0;21.0;0.0;17.16;959662.0;0.0;5.0;28.27;11.54;150.0;128.0;2450.0;93.431
16.0;0.0;26.0;0.0;20.0;0.0;22.0;0.0;34.94;1953802.0;0.0;0.0;28.21;11.49;151.0;128.0;2455.0;114.639
14.0;0.0;28.0;0.0;20.0;0.0;22.0;0.0;34.8;1946286.0;0.0;20.0;28.37;11.42;152.0;128.0;2484.0;229.76
12.0;0.0;30.0;0.0;20.0;0.0;22.0;0.0;34.58;1934115.0;0.0;7.0;28.67;11.38;153.0;128.0;2519.0;381.85
11.0;0.0;32.0;0.0;20.0;0.0;23.0;0.0;52.51;2936373.0;0.0;87.0;28.43;11.42;154.0;128.0;2489.0;520.03
8.0;0.0;35.0;0.0;20.0;0.0;23.0;0.0;52.2;2919165.0;0.0;13.0;28.67;11.46;155.0;128.0;2502.0;858.592
8.0;0.0;36.0;0.0;20.0;0.0;24.0;0.0;69.64;3894395.0;0.0;56.0;28.38;11.32;156.0;128.0;2507.0;927.691
4.0;0.0;40.0;0.0;20.0;0.0;24.0;0.0;69.73;3899704.0;0.0;45.0;28.64;11.46;157.0;128.0;2499.0;1529.237
0.0;0.0;45.0;0.0;20.0;0.0;25.0;0.0;86.83;4855893.0;0.0;126.0;28.75;11.39;158.0;128.0;2524.0;2394.947
20.0;0.0;23.0;0.0;21.0;0.0;22.0;0.0;17.23;963307.0;0.0;0.0;28.18;11.45;159.0;128.0;2461.0;9.455
19.0;0.0;24.0;0.0;21.0;0.0;22.0;0.0;17.16;959892.0;0.0;7.0;28.78;11.52;160.0;128.0;2498.0;28.078
18.0;0.0;25.0;0.0;21.0;0.0;22.0;0.0;17.23;963766.0;0.0;0.0;28.72;11.63;161.0;128.0;2469.0;55.852
17.0;0.0;26.0;0.0;21.0;0.0;22.0;0.0;17.28;966583.0;0.0;1.0;28.09;11.53;162.0;128.0;2436.0;94.166
17.0;0.0;27.0;0.0;21.0;0.0;23.0;0.0;34.91;1952357.0;0.0;1.0;28.35;11.43;163.0;128.0;2480.0;115.142
15.0;0.0;29.0;0.0;21.0;0.0;23.0;0.0;34.87;1949944.0;0.0;13.0;28.34;11.46;164.0;128.0;2473.0;229.419
13.0;0.0;31.0;0.0;21.0;0.0;23.0;0.0;34.91;1952345.0;0.0;13.0;28.27;11.53;165.0;128.0;2452.0;380.479
12.0;0.0;33.0;0.0;21.0;0.0;24.0;0.0;52.72;2948257.0;0.0;1.0;28.11;11.27;166.0;128.0;2494.0;529.059
9.0;0.0;36.0;0.0;21.0;0.0;24.0;0.0;52.41;2930905.0;0.0;5.0;28.66;10.99;167.0;128.0;2608.0;898.913
9.0;0.0;37.0;0.0;21.0;0.0;25.0;0.0;69.56;3889924.0;0.0;7.0;28.49;11.15;168.0;128.0;2555.0;940.753
5.0;0.0;41.0;0.0;21.0;0.0;25.0;0.0;69.47;3885254.0;0.0;1.0;28.58;11.02;169.0;128.0;2593.0;1584.366
1.0;0.0;46.0;0.0;21.0;0.0;26.0;0.0;86.43;4833688.0;0.0;1.0;28.69;10.97;170.0;128.0;2615.0;2475.186
21.0;0.0;24.0;0.0;22.0;0.0;23.0;0.0;17.36;971095.0;0.0;5.0;28.2;11.41;171.0;128.0;2472.0;9.56
20.0;0.0;25.0;0.0;22.0;0.0;23.0;0.0;17.37;971671.0;0.0;7.0;28.31;11.35;172.0;128.0;2494.0;28.847
19.0;0.0;26.0;0.0;22.0;0.0;23.0;0.0;17.31;968042.0;0.0;3.0;28.24;11.2;173.0;128.0;2521.0;58.265
18.0;0.0;27.0;0.0;22.0;0.0;23.0;0.0;17.19;961099.0;0.0;0.0;28.49;11.27;174.0;128.0;2528.0;95.837
18.0;0.0;28.0;0.0;22.0;0.0;24.0;0.0;35.28;1973158.0;0.0;3.0;28.24;11.4;175.0;128.0;2477.0;116.669
16.0;0.0;30.0;0.0;22.0;0.0;24.0;0.0;35.28;1973116.0;0.0;3.0;28.24;11.34;176.0;128.0;2490.0;234.572
14.0;0.0;32.0;0.0;22.0;0.0;24.0;0.0;35.28;1973056.0;0.0;41.0;28.53;11.41;177.0;128.0;2500.0;388.555
13.0;0.0;34.0;0.0;22.0;0.0;25.0;0.0;52.31;2925189.0;0.0;24.0;28.61;11.34;178.0;128.0;2523.0;521.704
10.0;0.0;37.0;0.0;22.0;0.0;25.0;0.0;52.26;2922628.0;0.0;6.0;28.44;11.29;179.0;128.0;2519.0;872.522
10.0;0.0;38.0;0.0;22.0;0.0;26.0;0.0;69.72;3898778.0;0.0;2.0;28.7;11.24;180.0;128.0;2553.0;935.367
6.0;0.0;42.0;0.0;22.0;0.0;26.0;0.0;69.5;3886662.0;0.0;24.0;28.29;11.06;181.0;128.0;2558.0;1579.318
2.0;0.0;47.0;0.0;22.0;0.0;27.0;0.0;86.47;4836019.0;0.0;200.0;28.92;11.01;182.0;128.0;2627.0;2467.334
